    Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C       C_BSY(uA)      AirMon_BSY     AirMon_B       C_D(nA)        AirMon_D       AirMon_L       AirMon_SL      IPM1C01        IPM1C02        IPM2C01        IPM2C02        IPM3C01        IPM3C02
  1.1535000e+05  2.1835100e+03  1.2248578e+02  6.8620319e-07  1.0431500e+04  1.8333332e-04  3.4187958e-07  0.0000000e+00  5.1170588e-07  9.9999999e-09  3.0162063e+02  5.8773018e-07  1.7034979e-07  9.9789403e-09  2.0553505e+02  2.1172220e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1541000e+05  2.1835100e+03  1.3959720e+02  6.4903132e-07  1.0431500e+04  1.9166665e-04  3.6424797e-07  1.6666666e-05  5.2503339e-07  9.9999999e-09  3.3407266e+02  6.1335287e-07  2.7157179e-07  9.9789403e-09  2.3420593e+02  2.4134132e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1547000e+05  2.1835100e+03  1.2936697e+02  7.7036423e-07  1.0431500e+04  1.9166665e-04  4.0930072e-07  2.4999998e-05  5.3523815e-07  9.9999999e-09  3.1179241e+02  5.9694342e-07  2.3135970e-07  9.9789403e-09  2.1679394e+02  2.2338628e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1553000e+05  2.1835100e+03  1.2731768e+02  7.2462155e-07  1.0431500e+04  1.3333332e-04  3.3177460e-07  8.3333328e-06  5.4380475e-07  9.9999999e-09  3.0231703e+02  6.2484166e-07  1.9925754e-07  9.9789403e-09  2.1331507e+02  2.1979736e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1559000e+05  2.1835100e+03  1.3932353e+02  7.4372597e-07  1.0431500e+04  1.4166974e-04  3.6541032e-07  8.3333328e-06  5.0713851e-07  9.9999999e-09  3.0079684e+02  6.0708440e-07  2.1705927e-07  9.9789403e-09  2.3349150e+02  2.4043649e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1565000e+05  2.1835100e+03  1.2878216e+02  7.1673829e-07  1.0431500e+04  1.4166987e-04  3.9981432e-07  1.6666666e-05  4.8072837e-07  9.9999999e-09  3.1194466e+02  5.6964322e-07  2.0820327e-07  9.9789403e-09  2.1586994e+02  2.2229457e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1571000e+05  2.1835100e+03  1.2908751e+02  7.8363725e-07  1.0431500e+04  1.2499999e-04  3.6890653e-07  1.6666666e-05  5.7273642e-07  9.9999999e-09  3.1157669e+02  5.8163540e-07  2.1047896e-07  9.9789403e-09  2.1611702e+02  2.2262894e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1577000e+05  2.1835100e+03  9.8906076e+01  7.1287538e-07  1.0431500e+04  9.1666661e-05  3.8761115e-07  8.3333328e-06  4.8809170e-07  9.9999999e-09  2.8075364e+02  6.0912192e-07  2.1246362e-07  9.9789403e-09  1.6599460e+02  1.7087543e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1583000e+05  2.1835100e+03  1.1952310e+02  6.9508246e-07  1.0431500e+04  4.9999997e-05  3.6389365e-07  8.3365179e-06  5.4033119e-07  9.9999999e-09  2.8879580e+02  5.6171562e-07  1.2789652e-07  9.9789403e-09  2.0017597e+02  2.0604881e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1589000e+05  2.1835100e+03  1.3698195e+02  7.3918407e-07  1.0431500e+04  5.0003675e-05  4.0404143e-07  0.0000000e+00  6.3261485e-07  9.9999999e-09  3.0762841e+02  5.8901372e-07  2.1440675e-07  9.9789403e-09  2.2954929e+02  2.3632701e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1595000e+05  2.1835100e+03  1.3399885e+02  7.0033510e-07  1.0431500e+04  3.3333331e-05  3.6353839e-07  1.6670171e-05  5.7139963e-07  9.9999999e-09  3.1890133e+02  6.4267407e-07  2.2941853e-07  9.9789403e-09  2.2417845e+02  2.3089723e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1601000e+05  2.1835100e+03  1.1248393e+02  6.4313495e-07  1.0431500e+04  4.1666664e-05  4.1482907e-07  8.3333328e-06  5.3467909e-07  9.9999999e-09  2.6499402e+02  6.4994454e-07  1.5323365e-07  9.9789403e-09  1.8873966e+02  1.9400327e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1607000e+05  2.1835100e+03  1.3703619e+02  6.8504768e-07  1.0431500e+04  2.4999998e-05  3.8597385e-07  3.3333331e-05  6.6662345e-07  9.9999999e-09  3.3129487e+02  6.9392883e-07  1.9449048e-07  9.9789403e-09  2.2942669e+02  2.3582806e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1613000e+05  2.1835100e+03  1.2650737e+02  7.4963921e-07  1.0431500e+04  3.3333331e-05  3.9621241e-07  2.4999998e-05  5.6481056e-07  9.9999999e-09  2.7988963e+02  7.1781248e-07  2.6353017e-07  9.9789403e-09  2.1174897e+02  2.1768324e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1619000e+05  2.1835100e+03  1.3540324e+02  7.8882293e-07  1.0431500e+04  7.4999995e-05  3.4570217e-07  0.0000000e+00  5.8547187e-07  9.9999999e-09  3.2363961e+02  6.5592256e-07  1.7881566e-07  9.9789403e-09  2.2667342e+02  2.3310262e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1625000e+05  2.1835100e+03  1.2931199e+02  7.5710728e-07  1.0431500e+04  0.0000000e+00  3.8937086e-07  8.3333328e-06  6.4682052e-07  9.9999999e-09  3.1117145e+02  7.4696797e-07  2.3810523e-07  9.9789403e-09  2.1656012e+02  2.2255410e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1631000e+05  2.1835100e+03  1.2338738e+02  7.4788064e-07  1.0431500e+04  4.1666664e-05  3.9404201e-07  1.6666666e-05  5.2325445e-07  9.9999999e-09  2.9411649e+02  6.7865787e-07  2.2894388e-07  9.9789403e-09  2.0671038e+02  2.1232144e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
