   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  3.8100000e+03  2.1835100e+03  8.3333328e-06  1.8750511e-07  1.0431500e+04  1.6666666e-05  3.4206374e-07  3.3333331e-05  2.6117170e-07  9.9999999e-09  2.8401787e-01  1.8071628e-07  8.6977549e+01  9.9999999e-09
  3.8700000e+03  2.1835100e+03  1.6666666e-05  2.0000383e-07  1.0431500e+04  8.3333328e-06  3.7434744e-07  1.6666666e-05  1.8343853e-07  9.9999999e-09  2.9640166e-01  2.6610575e-07  8.9766331e+01  9.9999999e-09
  3.9300000e+03  2.1835100e+03  8.3333328e-06  1.7828195e-07  1.0431500e+04  0.0000000e+00  3.9325663e-07  8.3333328e-06  2.5528529e-07  9.9999999e-09  2.7816702e-01  2.4255317e-07  9.0514725e+01  9.9999999e-09
  3.9900000e+03  2.1835100e+03  0.0000000e+00  1.5648647e-07  1.0431500e+04  0.0000000e+00  3.7956443e-07  4.1666664e-05  2.9137568e-07  9.9999999e-09  2.9475501e-01  1.8570909e-07  8.9931652e+01  9.9999999e-09
  4.0500000e+03  2.1835100e+03  8.3333328e-06  1.5046399e-07  1.0431500e+04  0.0000000e+00  3.2075328e-07  1.6666666e-05  5.4553040e-07  9.9999999e-09  2.9606404e-01  2.0881755e-07  8.9717288e+01  9.9999999e-09
  4.1100000e+03  2.1835100e+03  1.6670622e-05  1.5369493e-07  1.0431500e+04  8.3333328e-06  3.7499348e-07  3.3333331e-05  1.7514413e-07  9.9999999e-09  2.8311178e-01  2.0042625e-07  8.8796169e+01  9.9999999e-09
  4.1700000e+03  2.1835100e+03  1.6666666e-05  2.4228715e-07  1.0431500e+04  0.0000000e+00  3.4106964e-07  8.3333328e-06  1.9513442e-07  9.9999999e-09  3.0177405e-01  1.4746386e-07  8.9121647e+01  9.9999999e-09
  4.2300000e+03  2.1835100e+03  8.3333328e-06  2.4309579e-07  1.0431500e+04  3.3333331e-05  4.0367517e-07  1.6666666e-05  2.1929478e-07  9.9999999e-09  3.1166865e-01  2.0265041e-07  8.9622033e+01  9.9999999e-09
  4.2900000e+03  2.1835100e+03  8.3333328e-06  2.2800317e-07  1.0431500e+04  0.0000000e+00  4.1312708e-07  2.4999998e-05  2.1504405e-07  9.9999999e-09  2.8750133e-01  1.4760721e-07  9.0396884e+01  9.9999999e-09
  4.3500000e+03  2.1835100e+03  2.4999998e-05  2.0114463e-07  1.0431500e+04  8.3333328e-06  3.0431841e-07  0.0000000e+00  2.6843459e-07  9.9999999e-09  2.9708588e-01  1.2774048e-07  8.8820047e+01  9.9999999e-09
  4.4100000e+03  2.1835100e+03  8.3333328e-06  2.4429556e-07  1.0431500e+04  1.6666666e-05  3.4382267e-07  0.0000000e+00  2.2527604e-07  9.9999999e-09  3.0333581e-01  1.5911471e-07  8.0844913e+01  9.9999999e-09
  4.4700000e+03  2.1835100e+03  1.6666666e-05  1.6762088e-07  1.0431500e+04  2.4999998e-05  3.0821371e-07  0.0000000e+00  2.0624566e-07  9.9999999e-09  2.8875187e-01  1.2575788e-07  7.8610323e+01  9.9999999e-09
