    Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C       C_BSY(uA)      AirMon_BSY     AirMon_B       C_D(nA)        AirMon_D       AirMon_L       AirMon_SL      IPM1C01        IPM1C02        IPM2C01        IPM2C02        IPM3C01        IPM3C02
  2.0700000e+03  1.9226899e+03  8.3333328e-06  9.9719299e-10  1.9226899e+03  4.1667026e-04  9.9719299e-10  8.3333328e-06  3.7500619e-08  9.9999999e-09  2.3166883e-01  8.1923901e-04  7.9815238e+00  2.8670193e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.1300000e+03  1.9226899e+03  2.4999998e-05  9.9719299e-10  1.9226899e+03  5.3333330e-04  9.9719299e-10  0.0000000e+00  5.9867806e-08  9.9999999e-09  2.3750095e-01  3.9313159e-03  9.3047189e+00  5.7801239e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.1900000e+03  1.9226899e+03  4.9999997e-05  9.9719299e-10  1.9226899e+03  4.2499997e-04  9.9719299e-10  8.3333328e-06  7.1023103e-08  9.9999999e-09  2.3375082e-01  2.7578651e-03  9.3419136e+00  9.5438454e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.2500000e+03  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  4.7500339e-04  9.9719299e-10  8.3333328e-06  4.4122902e-08  9.9999999e-09  2.2625083e-01  2.1965895e-04  9.2758487e+00  5.7032422e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.3100000e+03  1.9226899e+03  4.9999997e-05  9.9719299e-10  1.9226899e+03  4.2499997e-04  9.9719299e-10  0.0000000e+00  6.6956401e-08  9.9999999e-09  2.3125121e-01  6.5598988e-04  8.7852679e+00  4.0951397e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.3700000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  4.0833331e-04  9.9719299e-10  0.0000000e+00  8.1602365e-08  9.9999999e-09  2.4000140e-01  1.0350270e-03  8.8178682e+00  5.3073889e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.4300000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  4.1667017e-04  9.9719299e-10  0.0000000e+00  9.6733902e-08  9.9999999e-09  2.5083527e-01  2.1998910e-03  9.4760066e+00  5.6100702e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.4900000e+03  1.9226899e+03  4.1666664e-05  9.9719299e-10  1.9226899e+03  5.9999996e-04  9.9719299e-10  0.0000000e+00  3.3188603e-08  9.9999999e-09  2.3875158e-01  1.0257007e-03  9.4213973e+00  7.1156052e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.5500000e+03  1.9226899e+03  5.8336157e-05  9.9719299e-10  1.9226899e+03  3.8333621e-04  9.9719299e-10  0.0000000e+00  4.5477056e-08  9.9999999e-09  2.2666825e-01  3.8856848e-03  9.2605384e+00  6.2504677e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.6100000e+03  1.9226899e+03  8.3333328e-06  9.9719299e-10  1.9226899e+03  4.2500652e-04  9.9719299e-10  0.0000000e+00  5.6251683e-08  9.9999999e-09  2.4541835e-01  5.4461661e-03  9.1500819e+00  8.0854157e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
