   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  3.8100000e+03  2.1835100e+03  4.9999997e-05  1.8726759e-07  1.0431500e+04  5.8333330e-05  3.8453359e-08  1.6666666e-05  1.3172200e-08  9.9999999e-09  3.9276188e-01  2.6574991e-07  6.0478121e-08  3.4155428e-08
  3.8700000e+03  2.1835100e+03  0.0000000e+00  5.6087108e-08  1.0431500e+04  5.8333330e-05  2.9223105e-08  8.3333328e-06  1.3005991e-08  9.9999999e-09  4.0833594e-01  2.4544097e-07  7.0879037e-08  2.9131334e-08
  3.9300000e+03  2.1835100e+03  2.4999998e-05  1.1650958e-07  1.0431500e+04  9.1666661e-05  1.3199200e-08  1.6666666e-05  1.2243700e-08  9.9999999e-09  3.9916852e-01  2.2523969e-07  4.9322385e-08  6.5882916e-08
  3.9900000e+03  2.1835100e+03  8.3333328e-06  6.9716493e-08  1.0431500e+04  2.4999998e-05  1.1545134e-05  1.6666666e-05  1.2243700e-08  9.9999999e-09  4.1428721e-01  1.7353883e-07  7.6889129e-08  3.6050347e-08
  4.0500000e+03  2.1835100e+03  0.0000000e+00  1.0235403e-07  1.0431500e+04  5.8333330e-05  1.5800218e-05  0.0000000e+00  1.2243700e-08  9.9999999e-09  4.0426981e-01  2.2410338e-07  6.9164941e-08  1.1109344e-07
  4.1100000e+03  2.1835100e+03  8.3333328e-06  1.3259518e-07  1.0431500e+04  4.1666664e-05  3.1112212e-08  8.3333328e-06  1.2243700e-08  9.9999999e-09  3.8728273e-01  2.4341890e-07  5.3980400e-08  1.0386898e-05
  4.1700000e+03  2.1835100e+03  0.0000000e+00  7.1903228e-08  1.0431500e+04  4.1666664e-05  2.5736016e-08  1.6666666e-05  1.4961033e-08  9.9999999e-09  4.0416935e-01  1.8389858e-07  5.4413507e-08  7.2307631e-08
  4.2300000e+03  2.1835100e+03  1.6666666e-05  9.1554061e-08  1.0431500e+04  2.4999999e-05  1.7818193e-08  1.6666666e-05  1.4823100e-08  9.9999999e-09  3.9333487e-01  2.1578601e-07  1.0819034e-07  4.1359286e-08
  4.2900000e+03  2.1835100e+03  8.3333328e-06  1.6481602e-07  1.0431500e+04  2.4999998e-05  5.3438213e-08  8.3362367e-06  1.4386504e-08  9.9999999e-09  4.0250286e-01  1.8050660e-07  9.8004762e-08  6.7798818e-08
  4.3500000e+03  2.1835100e+03  8.3333328e-06  8.4698567e-08  1.0431500e+04  4.1666664e-05  2.4493675e-08  8.3333328e-06  1.9087192e-05  9.9999999e-09  3.9500213e-01  2.1850556e-07  1.0738280e-07  1.3407358e-07
  4.4100000e+03  2.1835100e+03  2.5003206e-05  6.4964124e-08  1.0431500e+04  4.1666664e-05  4.0596559e-08  3.3333331e-05  1.1705100e-08  9.9999999e-09  4.1916855e-01  2.6326634e-07  8.7872494e-08  1.0819676e-07
  4.4700000e+03  2.1835100e+03  0.0000000e+00  1.1710929e-07  1.0431500e+04  4.1666664e-05  1.5995995e-08  8.3333328e-06  1.1705100e-08  9.9999999e-09  4.1541943e-01  2.5362295e-07  6.7573725e-08  1.2803044e-07
  4.5300000e+03  2.1835100e+03  2.4999998e-05  1.4945341e-07  1.0431500e+04  3.3333331e-05  2.4284656e-08  1.6666666e-05  1.1705100e-08  9.9999999e-09  3.7712044e-01  2.5220245e-07  7.9486006e-08  1.0079146e-07
  4.5900000e+03  2.1835100e+03  1.6666666e-05  1.0882186e-07  1.0431500e+04  5.8333330e-05  1.9045660e-08  8.3333328e-06  1.1705100e-08  9.9999999e-09  4.0874233e-01  2.7566378e-07  5.9520485e-08  1.1725541e-05
  4.6500000e+03  2.1835100e+03  8.3333328e-06  1.5334171e-05  1.0431500e+04  8.3333328e-06  2.2954692e-08  2.4999998e-05  1.1705100e-08  9.9999999e-09  3.9499137e-01  2.1000477e-07  9.0971829e-08  1.2258586e-07
  4.7100000e+03  2.1835100e+03  2.4999998e-05  1.0220622e-07  1.0431500e+04  4.9999997e-05  1.6049454e-08  1.6666666e-05  1.1705100e-08  9.9999999e-09  3.8499300e-01  2.0552826e-07  8.5121032e-08  6.0938502e-08
  4.7700000e+03  2.1835100e+03  2.4999998e-05  9.6834625e-08  1.0431500e+04  2.4999998e-05  1.3381886e-08  1.6666666e-05  1.1705100e-08  9.9999999e-09  3.9708334e-01  2.1220864e-07  6.7080528e-08  1.1920514e-07
  4.8300000e+03  2.1835100e+03  2.4999998e-05  1.6694915e-07  1.0431500e+04  7.4999995e-05  1.6463396e-08  0.0000000e+00  1.1705100e-08  9.9999999e-09  3.9833586e-01  2.0391219e-07  1.2142945e-07  1.2830511e-07
  4.8900000e+03  2.1835100e+03  1.6666666e-05  9.8466147e-08  1.0431500e+04  4.9999997e-05  1.9485365e-08  0.0000000e+00  2.0828100e-08  9.9999999e-09  4.0997951e-01  2.3980848e-07  1.1800125e-07  8.9989059e-08
  4.9500000e+03  2.1835100e+03  1.6666666e-05  9.0107239e-08  1.0431500e+04  4.9999997e-05  2.7911079e-08  8.3333328e-06  1.9307000e-08  9.9999999e-09  4.1210788e-01  2.0773298e-07  4.4691216e-08  2.2906437e-05
  5.0100000e+03  2.1835100e+03  2.4999998e-05  5.9685955e-08  1.0431500e+04  4.1666664e-05  2.8398337e-08  8.3333328e-06  1.6712502e-08  9.9999999e-09  4.1375280e-01  2.0953991e-07  5.2621541e-08  9.5798142e-08
  5.0700000e+03  2.1835100e+03  8.3333328e-06  1.5469498e-05  1.0431500e+04  5.8333330e-05  1.8113859e-08  1.6666666e-05  1.3471800e-08  9.9999999e-09  3.8703368e-01  2.5299854e-07  8.7311492e-08  9.1702483e-08
  5.1300000e+03  2.1835100e+03  1.6666666e-05  2.6982395e-06  1.0431500e+04  4.1666664e-05  1.7893988e-08  8.3333328e-06  1.6893622e-08  9.9999999e-09  4.2838834e-01  2.5611632e-07  1.0011972e-07  1.0010339e-07
  5.1900000e+03  2.1835100e+03  8.3333328e-06  4.3417090e-08  1.0431500e+04  6.6666663e-05  1.0869552e-08  1.6666666e-05  1.0227500e-08  9.9999999e-09  3.9791932e-01  2.5312321e-07  8.8430655e-08  1.4553723e-07
  5.2500000e+03  2.1835100e+03  8.3333328e-06  1.1849415e-07  1.0431500e+04  6.6666663e-05  2.2321225e-08  8.3333328e-06  1.2318630e-08  9.9999999e-09  3.8583513e-01  2.6881580e-07  1.0477618e-07  9.6978682e-08
  5.3100000e+03  2.1835100e+03  8.3333328e-06  1.6006631e-07  1.0431500e+04  4.9999997e-05  1.7273483e-08  0.0000000e+00  1.4251000e-08  9.9999999e-09  3.8250253e-01  1.7948347e-07  1.0276180e-07  1.1151962e-07
  5.3700000e+03  2.1835100e+03  5.0001373e-05  9.6295268e-08  1.0431500e+04  4.9999997e-05  4.6092301e-08  1.6666666e-05  1.4251000e-08  9.9999999e-09  4.0239447e-01  1.8362536e-07  9.6021646e-08  1.2212250e-07
  5.4300000e+03  2.1835100e+03  2.4999998e-05  1.5923877e-07  1.0431500e+04  2.4999998e-05  1.5945278e-08  8.3333328e-06  1.6650327e-08  9.9999999e-09  4.1719229e-01  2.3019437e-07  9.8888434e-08  1.1354122e-07
